Nest type,Nest,Date,Group size,No. arrivals,Total Brood,Brood_per_active_day,Foraging.Time.Total,Prop_time_off_nest,Average_Forage,Total_Available,Av_w_size,Q_size,Relative_Diff
QR,48,23/06/2018,2,23,12,0.923076923,963.5,0.901651243,496.9,551.1,1.881,2.18,0.862844037
QR,60,19/06/2018,1,6,7,0.875,192.1333333,0.35048036,192.1333334,548.2,1.916,2.313,0.828361435
QR,104,18/06/2018,4,39,18,1.285714286,1521.116667,0.69836774,381.1458336,545.7666667,1.8825,2.216,0.84950361
QR,104,22/06/2018,3,41,18,1.285714286,1381,0.838188881,460.3333334,549.2,1.8825,2.216,0.84950361
QR,115,23/06/2019,3,42,14,1.166666667,1176.083333,0.71305868,392.027778,549.7833333,1.9145,2.2,0.870227273
QR,118,19/06/2018,3,20,14,1.272727273,1040.2,0.623228783,346.7333334,556.35,1.9415,2.105,0.922327791
QR,118,23/06/2018,2,37,14,1.272727273,810.85,0.737382158,405.4250002,549.8166667,1.9415,2.105,0.922327791
QR,158,15/06/2018,5,42,17,1.214285714,1571.116667,0.567190132,314.2233331,554,1.9045,2.372,0.802908938
QR,158,20/06/2018,5,52,17,1.214285714,1716.016667,0.596548661,313.4266665,525.4,1.9045,2.372,0.802908938
QR,163,15/06/2018,2,32,16,1.066666667,831.5166667,0.743443405,415.7583335,559.2333333,NA,NA,NA
QR,163,20/06/2018,2,13,16,1.066666667,395,0.375475285,197.4999999,526,NA,NA,NA
QR,166,13/06/2018,4,46,17,1.307692308,1804.366667,0.836439211,451.0916665,539.3,1.782,2.19,0.81369863
QR,166,20/06/2018,1,11,17,1.307692308,322.1,0.610403967,322.1,527.6833333,1.782,2.19,0.81369863
QR,167,13/06/2018,3,28,17,2.125,1044.9,0.640041653,348.3000002,544.1833333,1.9715,2.288,0.86166958
QR,167,20/06/2018,2,26,17,2.125,653.8166667,0.62706202,326.9083331,521.3333333,1.9715,2.288,0.86166958
QR,193,10/06/2018,4,19,11,1.1,1184.3,0.538857039,296.0750001,549.45,1.9065,2.182,0.873739688
QR,193,18/06/2018,2,23,11,1.1,889.0666667,0.807875208,444.5333332,550.25,1.9065,2.182,0.873739688
QR,199,15/06/2018,3,38,4,0.363636364,1318.45,0.796117384,439.4833332,552.0333333,NA,NA,NA
